feature,importance,model,feature_set
Inventory Level,64.28594447274648,Linear Regression,operational
Price,4.880628389856063,Linear Regression,operational
day_cos,4.299922093331339,Linear Regression,operational
month_cos,3.9961844535149837,Linear Regression,operational
price_discount,3.0973501739620395,Linear Regression,operational
month,2.616061587850498,Linear Regression,operational
Competitor Pricing,2.5857634095577673,Linear Regression,operational
Product ID_P0005,2.5231835144648027,Linear Regression,operational
Product ID_P0017,2.2776449018040554,Linear Regression,operational
Product ID_P0008,1.8688190032392835,Linear Regression,operational
weekofyear,1.70614003257546,Linear Regression,operational
Product ID_P0003,1.5859754657260023,Linear Regression,operational
Weather Condition_Rainy,1.1904041800540743,Linear Regression,operational
Product ID_P0007,1.0888955366077808,Linear Regression,operational
Product ID_P0010,1.0362679006732483,Linear Regression,operational
Product ID_P0015,1.0126766522756896,Linear Regression,operational
Weather Condition_Sunny,0.9259894370531174,Linear Regression,operational
Store ID_S001,0.9228210624031556,Linear Regression,operational
Product ID_P0016,0.9160614449998408,Linear Regression,operational
Seasonality_Spring,0.7865284920283113,Linear Regression,operational
Product ID_P0011,0.745511844682161,Linear Regression,operational
Product ID_P0018,0.676730135779949,Linear Regression,operational
dow_sin,0.6630219959266549,Linear Regression,operational
Product ID_P0006,0.6401373554247143,Linear Regression,operational
ma_30_sales,0.6388110006246492,Linear Regression,operational
Product ID_P0020,0.6381892876363425,Linear Regression,operational
Product ID_P0004,0.6277443597151421,Linear Regression,operational
Category_Electronics,0.6080435123962186,Linear Regression,operational
Product ID_P0013,0.6000151897998411,Linear Regression,operational
Seasonality_Winter,0.4639502665776635,Linear Regression,operational
Store ID_S005,0.46020656147966377,Linear Regression,operational
price_to_competitor,0.4601095305276721,Linear Regression,operational
std_7_sales,0.45067093855595797,Linear Regression,operational
promo_discount,0.44489115723808625,Linear Regression,operational
ma_7_sales,0.437370029646744,Linear Regression,operational
Product ID_P0014,0.4222575359055569,Linear Regression,operational
discount_rate,0.4021183847000609,Linear Regression,operational
Discount,0.4021183847000601,Linear Regression,operational
Weather Condition_Snowy,0.3931013575816814,Linear Regression,operational
Holiday/Promotion,0.3765554577006749,Linear Regression,operational
Store ID_S004,0.3713371591975214,Linear Regression,operational
Seasonality_Autumn,0.3485731436384219,Linear Regression,operational
Region_North,0.34238526563629357,Linear Regression,operational
Store ID_S003,0.32622691656720204,Linear Regression,operational
Category_Clothing,0.32247054568659217,Linear Regression,operational
day_of_week,0.292769840472792,Linear Regression,operational
Product ID_P0009,0.24610535517695656,Linear Regression,operational
Region_South,0.24547637313214,Linear Regression,operational
Store ID_S002,0.2349495748412037,Linear Regression,operational
Region_East,0.21939021686255084,Linear Regression,operational
month_sin,0.2146504248406283,Linear Regression,operational
lag_1_sales,0.2140080745140196,Linear Regression,operational
inventory_to_ma7,0.2037354913004823,Linear Regression,operational
Product ID_P0002,0.18862329902600566,Linear Regression,operational
day_sin,0.16035410229732971,Linear Regression,operational
Product ID_P0019,0.1558308725022295,Linear Regression,operational
lag_7_sales,0.1331970541241927,Linear Regression,operational
Weather Condition_Cloudy,0.12868661458073122,Linear Regression,operational
Region_West,0.12248132435837791,Linear Regression,operational
Category_Toys,0.11892221455302265,Linear Regression,operational
Category_Groceries,0.10418089541612824,Linear Regression,operational
lag_30_sales,0.0809473610954341,Linear Regression,operational
Category_Furniture,0.06246985674049424,Linear Regression,operational
dow_cos,0.05690826205519439,Linear Regression,operational
Seasonality_Summer,0.02599491818777161,Linear Regression,operational
Product ID_P0012,0.024586049945298005,Linear Regression,operational
Product ID_P0001,0.02389989316960639,Linear Regression,operational
Inventory Level,64.28326986271264,Ridge,operational
Price,4.833210028834388,Ridge,operational
day_cos,4.293433656463908,Ridge,operational
month_cos,3.9899407511602925,Ridge,operational
price_discount,3.074715403436769,Ridge,operational
month,2.6150943277949974,Ridge,operational
Competitor Pricing,2.5603044488029174,Ridge,operational
Product ID_P0005,2.5223862863030764,Ridge,operational
Product ID_P0017,2.2768147580350915,Ridge,operational
Product ID_P0008,1.8682412349767343,Ridge,operational
weekofyear,1.7051470182706028,Ridge,operational
Product ID_P0003,1.5853913508234148,Ridge,operational
Weather Condition_Rainy,1.1903387351284986,Ridge,operational
Product ID_P0007,1.0885259719861133,Ridge,operational
Product ID_P0010,1.0360430525529543,Ridge,operational
Product ID_P0015,1.0123610560263885,Ridge,operational
Weather Condition_Sunny,0.9259523179799342,Ridge,operational
Store ID_S001,0.9227078628950288,Ridge,operational
Product ID_P0016,0.9157724954941105,Ridge,operational
Seasonality_Spring,0.7864543327185314,Ridge,operational
Product ID_P0011,0.7452423553942401,Ridge,operational
Product ID_P0018,0.6765264916693627,Ridge,operational
dow_sin,0.6629694486572676,Ridge,operational
Product ID_P0006,0.639942986407364,Ridge,operational
ma_30_sales,0.638805619642856,Ridge,operational
Product ID_P0020,0.6380528225230064,Ridge,operational
Product ID_P0004,0.6275716942888959,Ridge,operational
Category_Electronics,0.6079543984659281,Ridge,operational
Product ID_P0013,0.5998284222535593,Ridge,operational
Seasonality_Winter,0.4639233832046773,Ridge,operational
Store ID_S005,0.46013825705346323,Ridge,operational
price_to_competitor,0.45794411395248,Ridge,operational
std_7_sales,0.4507522301751514,Ridge,operational
promo_discount,0.44487190551125655,Ridge,operational
ma_7_sales,0.4362741655910563,Ridge,operational
Product ID_P0014,0.42212710041101387,Ridge,operational
discount_rate,0.4002481890569637,Ridge,operational
Discount,0.4002481890229928,Ridge,operational
Weather Condition_Snowy,0.39307618498317204,Ridge,operational
Holiday/Promotion,0.3765233923313127,Ridge,operational
Store ID_S004,0.37129604401099786,Ridge,operational
Seasonality_Autumn,0.3485401201277156,Ridge,operational
Region_North,0.342377240909455,Ridge,operational
Store ID_S003,0.3262403454839625,Ridge,operational
Category_Clothing,0.32244451576388594,Ridge,operational
day_of_week,0.2927485512484616,Ridge,operational
Product ID_P0009,0.24597446003878598,Ridge,operational
Region_South,0.2454880150774408,Ridge,operational
Store ID_S002,0.23496678366125182,Ridge,operational
Region_East,0.2193953905100661,Ridge,operational
lag_1_sales,0.213994779364469,Ridge,operational
month_sin,0.2134424436918983,Ridge,operational
inventory_to_ma7,0.20608738845161217,Ridge,operational
Product ID_P0002,0.1886738398217182,Ridge,operational
day_sin,0.1608361520519591,Ridge,operational
Product ID_P0019,0.15573780009342617,Ridge,operational
lag_7_sales,0.13318835365043788,Ridge,operational
Weather Condition_Cloudy,0.12868976775601537,Ridge,operational
Region_West,0.12250616465256262,Ridge,operational
Category_Toys,0.11888379637554986,Ridge,operational
Category_Groceries,0.10415062304484869,Ridge,operational
lag_30_sales,0.08092637994715064,Ridge,operational
Category_Furniture,0.06247546334538044,Ridge,operational
dow_cos,0.05690315662255841,Ridge,operational
Seasonality_Summer,0.02600917039809922,Ridge,operational
Product ID_P0012,0.024507724732707795,Ridge,operational
Product ID_P0001,0.023906817126304172,Ridge,operational
Inventory Level,0.7639630055344688,Random Forest,operational
ma_30_sales,0.01702528353172855,Random Forest,operational
price_to_competitor,0.016946510381956794,Random Forest,operational
lag_1_sales,0.016599910192125443,Random Forest,operational
lag_7_sales,0.01651521765577772,Random Forest,operational
std_7_sales,0.015666305526477808,Random Forest,operational
lag_30_sales,0.015220099685845642,Random Forest,operational
price_discount,0.014421022266155109,Random Forest,operational
day_cos,0.012462427431531609,Random Forest,operational
day_sin,0.011947349192586406,Random Forest,operational
inventory_to_ma7,0.01127490936628392,Random Forest,operational
Competitor Pricing,0.010966666913288015,Random Forest,operational
ma_7_sales,0.010928006171726122,Random Forest,operational
Price,0.010011806802476124,Random Forest,operational
weekofyear,0.0050908117676650615,Random Forest,operational
dow_sin,0.00405375179469843,Random Forest,operational
day_of_week,0.0034090788443371695,Random Forest,operational
promo_discount,0.002717511707899186,Random Forest,operational
dow_cos,0.0024802155762541846,Random Forest,operational
Discount,0.0019639802445147432,Random Forest,operational
discount_rate,0.0018814477498695205,Random Forest,operational
month_cos,0.0015087812372474065,Random Forest,operational
Region_East,0.0013527854538454309,Random Forest,operational
Weather Condition_Cloudy,0.0013483683537459535,Random Forest,operational
Holiday/Promotion,0.0012961092464167095,Random Forest,operational
month_sin,0.0012515714468785083,Random Forest,operational
Weather Condition_Snowy,0.0012384162700350883,Random Forest,operational
month,0.0012048093201660621,Random Forest,operational
Weather Condition_Rainy,0.001128930098245748,Random Forest,operational
