model,feature_set,MAPE,MAPE_y>=10,sMAPE,WAPE,MAE,RMSE,R2,within_20pct,n
Mean Baseline,baseline,398.7191,139.3515,72.128,65.3378,88.7872,108.223,-0.0,15.9728,14700
Vendor Demand Forecast,baseline,28.3857,12.5857,17.068,6.1534,8.3618,10.0501,0.9914,79.0272,14700
Half of Inventory,baseline,289.4654,101.5708,57.9144,50.4732,68.5878,87.5894,0.3449,21.034,14700
Linear Regression,operational,288.0738,101.0875,58.0084,50.4925,68.614,87.6115,0.3446,20.9252,14700
Ridge,operational,288.0752,101.0877,58.0083,50.4925,68.6139,87.6115,0.3446,20.9252,14700
Random Forest,operational,288.0616,101.1263,58.1284,50.6404,68.815,87.9775,0.3391,20.8707,14700
XGBoost,operational,289.1807,100.9144,58.3597,50.8516,69.102,88.6609,0.3288,20.8776,14700
Linear Regression,vendor,20.5275,11.2159,17.1647,5.4681,7.4305,8.6233,0.9937,81.4218,14700
Ridge,vendor,20.5295,11.216,17.1637,5.4681,7.4305,8.6234,0.9937,81.415,14700
Random Forest,vendor,22.6581,10.4702,14.2309,5.3455,7.264,8.4966,0.9938,82.0,14700
XGBoost,vendor,23.4519,10.544,14.4418,5.397,7.334,8.6153,0.9937,81.9116,14700
