key,value
temporal_cutoff,2023-08-08
LOW_lt,49.0
HIGH_gt,203.0
selected_z,1.96
residual_std,7.169250347942329
inventory_sold_corr,0.59
vendor_forecast_corr,0.9969
price_competitor_corr,0.9939
mean_inventory,274.47
mean_units_sold,136.46
mean_leftover,138.01
best_vendor_model,Random Forest
best_vendor_feature_set,vendor
best_vendor_MAPE,22.6581
best_vendor_MAPE_y>=10,10.4702
best_vendor_sMAPE,14.2309
best_vendor_WAPE,5.3455
best_vendor_MAE,7.264
best_vendor_RMSE,8.4966
best_vendor_R2,0.9938
best_vendor_within_20pct,82.0
best_vendor_n,14700
best_operational_model,Linear Regression
best_operational_feature_set,operational
best_operational_MAPE,288.0738
best_operational_MAPE_y>=10,101.0875
best_operational_sMAPE,58.0084
best_operational_WAPE,50.4925
best_operational_MAE,68.614
best_operational_RMSE,87.6115
best_operational_R2,0.3446
best_operational_within_20pct,20.9252
best_operational_n,14700
best_classifier_model,XGBoost
best_classifier_feature_set,vendor
best_classifier_accuracy,0.9473
best_classifier_f1_macro,0.9474
best_classifier_f1_weighted,0.9473
best_classifier_precision_LOW,0.925
best_classifier_recall_LOW,0.9245
best_classifier_f1_LOW,0.9247
best_classifier_precision_MEDIUM,0.9471
best_classifier_recall_MEDIUM,0.9479
best_classifier_f1_MEDIUM,0.9475
best_classifier_precision_HIGH,0.9704
best_classifier_recall_HIGH,0.9693
best_classifier_f1_HIGH,0.9698
best_classifier_roc_auc_ovr,0.9956
cluster_n_clusters,3
cluster_silhouette,0.2268
cluster_davies_bouldin,1.4552
cluster_inertia,330.7446
results_dir,/workspace/results
